epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9135,1.78943,1.99312,1.5653,0.43463,0.38992,0.36581,0.16345,1.80273,1.96104,1.55679,0.000248566,0.000248566,0.000248566
2,21.4683,1.66281,1.35648,1.43544,0.37253,0.35626,0.2751,0.10821,1.98623,3.11999,1.85686,0.000494902,0.000494902,0.000494902
3,31.0956,1.70662,1.35173,1.46458,0.16807,0.2597,0.11453,0.04273,2.28163,5.47771,2.04699,0.000731088,0.000731088,0.000731088
4,40.6338,1.73712,1.39709,1.49406,0.36183,0.39088,0.30816,0.12659,2.04218,2.78009,1.83478,0.000723321,0.000723321,0.000723321
5,50.35,1.69244,1.31481,1.45926,0.3526,0.40643,0.30893,0.13298,1.95674,2.86974,1.7782,0.000708095,0.000708095,0.000708095
6,60.1521,1.65762,1.24224,1.42732,0.45877,0.47763,0.43657,0.19638,1.81933,1.59975,1.59597,0.000692869,0.000692869,0.000692869
7,70.0459,1.63003,1.20336,1.41543,0.49166,0.47394,0.45925,0.20898,1.78511,1.79814,1.56345,0.000677643,0.000677643,0.000677643
8,79.9057,1.60736,1.1415,1.39035,0.5678,0.50417,0.51131,0.22786,1.78019,1.36172,1.56675,0.000662417,0.000662417,0.000662417
9,89.709,1.58595,1.11784,1.38343,0.52477,0.5452,0.51699,0.23251,1.75274,1.40679,1.54773,0.00064719,0.00064719,0.00064719
10,99.7282,1.57317,1.08445,1.37719,0.62396,0.54826,0.56636,0.25921,1.72036,1.21228,1.52062,0.000631964,0.000631964,0.000631964
11,109.97,1.55093,1.05153,1.36775,0.58933,0.59192,0.56303,0.25719,1.70438,1.19891,1.49218,0.000616738,0.000616738,0.000616738
12,119.563,1.51721,1.01085,1.35134,0.59458,0.55236,0.56287,0.26139,1.69983,1.16177,1.49136,0.000601512,0.000601512,0.000601512
13,129.478,1.52175,1.00347,1.34739,0.63009,0.55366,0.56394,0.26557,1.67105,1.17307,1.47605,0.000586286,0.000586286,0.000586286
14,139.604,1.49606,0.97906,1.33218,0.61708,0.60414,0.59745,0.28282,1.66536,1.10406,1.45426,0.000571059,0.000571059,0.000571059
15,149.453,1.47555,0.93764,1.30954,0.62914,0.58855,0.60565,0.29469,1.63479,1.09742,1.45835,0.000555833,0.000555833,0.000555833
16,159.268,1.47865,0.94229,1.32608,0.6597,0.60098,0.61696,0.2997,1.63325,1.03646,1.46051,0.000540607,0.000540607,0.000540607
17,169.063,1.44509,0.90541,1.29755,0.64194,0.61768,0.62101,0.29768,1.63145,1.03712,1.45221,0.000525381,0.000525381,0.000525381
18,178.944,1.44102,0.8932,1.29524,0.65187,0.63256,0.64124,0.30556,1.66804,1.0045,1.45387,0.000510155,0.000510155,0.000510155
19,188.856,1.42379,0.88579,1.29486,0.63815,0.63936,0.63467,0.298,1.63854,0.99425,1.45085,0.000494928,0.000494928,0.000494928
20,198.591,1.41486,0.85506,1.28609,0.67559,0.63336,0.64384,0.31264,1.6048,0.96344,1.42529,0.000479702,0.000479702,0.000479702
21,208.584,1.39692,0.84588,1.27174,0.66843,0.58254,0.62418,0.30253,1.63061,0.99434,1.44849,0.000464476,0.000464476,0.000464476
22,218.345,1.39163,0.83932,1.27485,0.66754,0.6198,0.64778,0.31704,1.60235,0.97578,1.4256,0.00044925,0.00044925,0.00044925
23,228.503,1.36094,0.81696,1.25379,0.65974,0.61947,0.63738,0.31002,1.61939,0.98694,1.44366,0.000434024,0.000434024,0.000434024
24,238.446,1.3479,0.8091,1.24907,0.66752,0.63215,0.62994,0.30594,1.61592,0.99959,1.46123,0.000418797,0.000418797,0.000418797
25,248.135,1.34013,0.792,1.23361,0.69035,0.64683,0.65454,0.31852,1.6052,0.94419,1.42859,0.000403571,0.000403571,0.000403571
26,258.05,1.32856,0.77811,1.23963,0.71236,0.60011,0.64959,0.32043,1.60105,0.94254,1.43741,0.000388345,0.000388345,0.000388345
27,268.193,1.32488,0.77668,1.22891,0.6995,0.62438,0.65738,0.32229,1.60686,0.93795,1.43547,0.000373119,0.000373119,0.000373119
28,278.315,1.30265,0.75166,1.21855,0.70566,0.62978,0.66193,0.32553,1.5977,0.93785,1.42542,0.000357893,0.000357893,0.000357893
29,288.436,1.27072,0.72655,1.20059,0.70287,0.62726,0.6541,0.32119,1.6109,0.95611,1.43072,0.000342666,0.000342666,0.000342666
30,298.672,1.26232,0.71602,1.20648,0.70686,0.65175,0.66525,0.32473,1.60303,0.90614,1.44448,0.00032744,0.00032744,0.00032744
31,308.556,1.24959,0.70119,1.19068,0.73113,0.61873,0.66672,0.32665,1.58862,0.91924,1.43025,0.000312214,0.000312214,0.000312214
32,318.691,1.24059,0.69394,1.19557,0.7155,0.66531,0.67807,0.33626,1.56886,0.88975,1.42324,0.000296988,0.000296988,0.000296988
33,329.058,1.23538,0.68527,1.17893,0.7304,0.63944,0.68648,0.33841,1.58965,0.88233,1.42387,0.000281762,0.000281762,0.000281762
34,339.155,1.22197,0.67874,1.18021,0.69244,0.66467,0.67198,0.33182,1.58816,0.88316,1.42748,0.000266535,0.000266535,0.000266535
35,348.956,1.20405,0.68138,1.18015,0.72583,0.65035,0.68872,0.34386,1.57654,0.88731,1.43033,0.000251309,0.000251309,0.000251309
36,359.068,1.18784,0.65378,1.1627,0.71323,0.6479,0.68082,0.33771,1.5764,0.91385,1.41917,0.000236083,0.000236083,0.000236083
37,369.516,1.17223,0.64924,1.15457,0.71906,0.65694,0.68124,0.33587,1.58736,0.89005,1.4351,0.000220857,0.000220857,0.000220857
38,379.414,1.16234,0.63606,1.14988,0.72652,0.66417,0.68448,0.3381,1.57825,0.86971,1.42289,0.000205631,0.000205631,0.000205631
39,389.35,1.14359,0.62831,1.138,0.73107,0.64566,0.68081,0.34277,1.56267,0.89125,1.42585,0.000190404,0.000190404,0.000190404
40,399.267,1.12744,0.61591,1.13428,0.72602,0.66584,0.68341,0.34099,1.56191,0.88073,1.4142,0.000175178,0.000175178,0.000175178
41,412.765,1.12598,0.57349,1.13515,0.75082,0.63149,0.68672,0.34478,1.56481,0.86335,1.41562,0.000159952,0.000159952,0.000159952
42,422.944,1.09256,0.5492,1.12116,0.70746,0.68429,0.69466,0.34838,1.55366,0.85977,1.42533,0.000144726,0.000144726,0.000144726
43,433.103,1.08038,0.5368,1.11607,0.74417,0.67201,0.709,0.34873,1.56553,0.84639,1.4344,0.0001295,0.0001295,0.0001295
44,443.211,1.0659,0.52895,1.10871,0.74128,0.65322,0.69396,0.34782,1.56896,0.86456,1.44148,0.000114273,0.000114273,0.000114273
45,453.127,1.03984,0.51353,1.09541,0.73441,0.65815,0.69425,0.34645,1.55882,0.8498,1.43317,9.90472e-05,9.90472e-05,9.90472e-05
46,462.823,1.02153,0.5063,1.08682,0.73077,0.66756,0.69402,0.35092,1.55655,0.85481,1.43833,8.3821e-05,8.3821e-05,8.3821e-05
47,472.496,1.01382,0.50213,1.07735,0.74043,0.66155,0.69193,0.34467,1.56652,0.85715,1.45098,6.85948e-05,6.85948e-05,6.85948e-05
48,482.47,0.99649,0.49041,1.07025,0.73851,0.66761,0.69259,0.35021,1.55729,0.83863,1.44982,5.33686e-05,5.33686e-05,5.33686e-05
49,492.188,0.98421,0.4846,1.06967,0.73891,0.67054,0.69685,0.35018,1.5576,0.83978,1.44672,3.81424e-05,3.81424e-05,3.81424e-05
50,502.247,0.97036,0.47862,1.05988,0.74261,0.67984,0.70353,0.35026,1.55347,0.83888,1.44756,2.29162e-05,2.29162e-05,2.29162e-05
