epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,218.266,1.39062,0.83949,1.27915,0.69343,0.59945,0.6443,0.31839,1.60285,0.97607,1.42935,0.00044925,0.00044925,0.00044925
23,227.917,1.36241,0.81688,1.25879,0.67061,0.66264,0.65859,0.32196,1.57762,0.95638,1.42388,0.000434024,0.000434024,0.000434024
24,237.98,1.35726,0.80948,1.25125,0.67871,0.63884,0.64783,0.31739,1.61198,0.98264,1.4447,0.000418797,0.000418797,0.000418797
25,247.822,1.33879,0.79142,1.23399,0.72107,0.6291,0.65949,0.31886,1.59848,0.95603,1.44058,0.000403571,0.000403571,0.000403571
26,257.697,1.32546,0.77526,1.23785,0.68198,0.64931,0.65733,0.31574,1.60576,0.944,1.4405,0.000388345,0.000388345,0.000388345
27,267.441,1.32076,0.77644,1.23594,0.7074,0.63901,0.66715,0.33042,1.57298,0.93567,1.42308,0.000373119,0.000373119,0.000373119
28,277.41,1.29826,0.74506,1.22144,0.71852,0.64463,0.67469,0.32815,1.59169,0.90944,1.43327,0.000357893,0.000357893,0.000357893
29,287.239,1.27815,0.73769,1.21026,0.72325,0.63726,0.66936,0.32892,1.58286,0.94417,1.41948,0.000342666,0.000342666,0.000342666
30,297.058,1.26502,0.72066,1.214,0.74064,0.65769,0.68477,0.32957,1.59259,0.9055,1.43098,0.00032744,0.00032744,0.00032744
31,306.846,1.25753,0.71045,1.1965,0.73901,0.62417,0.67413,0.32635,1.58357,0.91868,1.42696,0.000312214,0.000312214,0.000312214
32,316.548,1.24072,0.70245,1.19691,0.70162,0.68047,0.68685,0.3362,1.59395,0.88091,1.44009,0.000296988,0.000296988,0.000296988
33,326.54,1.23822,0.68496,1.18134,0.72881,0.66677,0.67907,0.33563,1.57736,0.88616,1.41436,0.000281762,0.000281762,0.000281762
34,336.445,1.21833,0.6797,1.18265,0.72255,0.67416,0.68608,0.3383,1.57316,0.87903,1.42785,0.000266535,0.000266535,0.000266535
35,346.407,1.20701,0.67835,1.18198,0.73707,0.62935,0.66458,0.33252,1.57634,0.93024,1.43423,0.000251309,0.000251309,0.000251309
36,356.2,1.18885,0.65632,1.16838,0.75181,0.64592,0.68824,0.34036,1.563,0.88047,1.4143,0.000236083,0.000236083,0.000236083
37,366.207,1.16738,0.65082,1.15867,0.73954,0.66974,0.69435,0.34049,1.58542,0.86751,1.42431,0.000220857,0.000220857,0.000220857
38,376.169,1.16009,0.63582,1.15255,0.75215,0.66408,0.69028,0.3407,1.57919,0.87679,1.43166,0.000205631,0.000205631,0.000205631
39,386.237,1.1445,0.63003,1.14129,0.76992,0.67104,0.70712,0.35147,1.5652,0.83365,1.43016,0.000190404,0.000190404,0.000190404
40,396.206,1.12987,0.6183,1.13879,0.7629,0.6566,0.70299,0.34705,1.55686,0.85124,1.42301,0.000175178,0.000175178,0.000175178
41,408.366,1.12683,0.57722,1.14463,0.72288,0.68213,0.69572,0.34649,1.55952,0.84131,1.422,0.000159952,0.000159952,0.000159952
42,418.144,1.09359,0.54934,1.12543,0.75421,0.67525,0.70255,0.34798,1.57281,0.83638,1.4488,0.000144726,0.000144726,0.000144726
43,428.089,1.08218,0.53997,1.12189,0.75406,0.67888,0.70925,0.35072,1.56294,0.83468,1.42876,0.0001295,0.0001295,0.0001295
44,437.812,1.06856,0.53481,1.11362,0.76033,0.65355,0.70354,0.3486,1.56719,0.84092,1.43332,0.000114273,0.000114273,0.000114273
45,447.52,1.03833,0.51402,1.09441,0.7599,0.66367,0.70194,0.34944,1.55974,0.8367,1.43547,9.90472e-05,9.90472e-05,9.90472e-05
46,457.195,1.02646,0.51103,1.08749,0.75697,0.66259,0.69712,0.35158,1.54814,0.84445,1.43168,8.3821e-05,8.3821e-05,8.3821e-05
47,467.122,1.01744,0.50544,1.08093,0.79935,0.63961,0.70245,0.35224,1.56642,0.83208,1.44781,6.85948e-05,6.85948e-05,6.85948e-05
48,476.989,0.99577,0.49572,1.07377,0.74737,0.68959,0.71365,0.35434,1.56555,0.82879,1.44968,5.33686e-05,5.33686e-05,5.33686e-05
49,486.847,0.98641,0.48745,1.07487,0.77515,0.65839,0.70729,0.35399,1.56396,0.83928,1.44564,3.81424e-05,3.81424e-05,3.81424e-05
50,496.513,0.97544,0.48437,1.06528,0.79216,0.6559,0.71065,0.35155,1.55761,0.83266,1.44959,2.29162e-05,2.29162e-05,2.29162e-05
