epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8546,1.78988,2.00094,1.56651,0.47403,0.45028,0.40785,0.17738,1.81276,2.05931,1.56116,0.000248566,0.000248566,0.000248566
2,21.7835,1.67111,1.37807,1.44267,0.32929,0.32029,0.21717,0.086,2.07006,4.25214,1.90339,0.000494902,0.000494902,0.000494902
3,31.5353,1.71692,1.36202,1.47876,0.30539,0.35711,0.23265,0.09512,2.01203,3.23378,1.90225,0.000731088,0.000731088,0.000731088
4,41.4889,1.72091,1.39345,1.49479,0.28645,0.32593,0.22017,0.09232,2.0628,3.45868,1.97507,0.000723321,0.000723321,0.000723321
5,51.1814,1.69311,1.32633,1.4685,0.45842,0.37625,0.35236,0.15684,1.87144,2.51558,1.72264,0.000708095,0.000708095,0.000708095
6,60.8542,1.65597,1.24759,1.44066,0.55489,0.48319,0.48807,0.2127,1.83908,1.61138,1.66418,0.000692869,0.000692869,0.000692869
7,70.6303,1.62729,1.20403,1.42288,0.51474,0.52534,0.4842,0.21312,1.80178,1.39274,1.60116,0.000677643,0.000677643,0.000677643
8,80.5097,1.61135,1.14666,1.40017,0.57473,0.51982,0.51872,0.23059,1.77359,1.30629,1.56631,0.000662417,0.000662417,0.000662417
9,90.3623,1.57989,1.11778,1.38846,0.55217,0.53287,0.52157,0.23553,1.73329,1.26645,1.53069,0.00064719,0.00064719,0.00064719
10,100.167,1.57208,1.08809,1.38312,0.61981,0.51885,0.53866,0.25054,1.74457,1.24303,1.54708,0.000631964,0.000631964,0.000631964
11,110.205,1.54284,1.04922,1.36977,0.57474,0.58376,0.572,0.26835,1.66798,1.17983,1.48777,0.000616738,0.000616738,0.000616738
12,120.077,1.51804,1.00934,1.36027,0.62068,0.5605,0.58382,0.27067,1.71399,1.14372,1.50495,0.000601512,0.000601512,0.000601512
13,129.925,1.52003,1.00723,1.35416,0.5969,0.55256,0.56473,0.26802,1.67729,1.18065,1.50427,0.000586286,0.000586286,0.000586286
14,139.578,1.49815,0.97797,1.3394,0.66335,0.55894,0.60641,0.28062,1.68107,1.1013,1.47067,0.000571059,0.000571059,0.000571059
15,149.51,1.48275,0.94729,1.31676,0.6631,0.59562,0.61913,0.29135,1.65113,1.04995,1.45777,0.000555833,0.000555833,0.000555833
16,159.427,1.47927,0.94777,1.32755,0.64056,0.60992,0.61025,0.28717,1.65793,1.10791,1.47768,0.000540607,0.000540607,0.000540607
17,169.107,1.4458,0.92197,1.29989,0.66371,0.61083,0.63407,0.3045,1.61737,1.02472,1.4519,0.000525381,0.000525381,0.000525381
18,179.103,1.43332,0.89417,1.2991,0.69404,0.6069,0.63865,0.30028,1.63159,1.035,1.45665,0.000510155,0.000510155,0.000510155
19,189.025,1.41505,0.88245,1.29964,0.68179,0.61161,0.63467,0.30069,1.63304,0.99554,1.46392,0.000494928,0.000494928,0.000494928
20,198.799,1.40935,0.85791,1.2874,0.66011,0.63955,0.64869,0.31984,1.59648,0.98485,1.43329,0.000479702,0.000479702,0.000479702
21,208.615,1.39618,0.85289,1.2768,0.6641,0.62738,0.64124,0.30935,1.61687,0.97322,1.44694,0.000464476,0.000464476,0.000464476
